en,Team Name,Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 1 In-Game-Name (this needs to be the same for every match day),Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 2 In-Game-Name (this needs to be the same for every match day),Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Rostered Player 3 In-Game-Name (this needs to be the same for every match day),Have you and your teammates played in Void Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,,
26/03/2025 17:54:51,Diamond Dawgs,olivergrant86,olivergrant86,https://overstat.gg/player/91580/overview,groliver86,crashingintomars,https://overstat.gg/player/117451/overview,Crash,mattyk3ng,https://overstat.gg/player/91580/overview,Mattyk3ng,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 17:56:55,Rusty Animals,eR4Ticate13,eR4ticate13,https://overstat.gg/player/3380059.eR4Ticate13,eR4Ticate13,A_Fox_With_Sox,https://overstat.gg/player/3380058.A_Fox_With_Sox,A_Fox_With_Sox,FadingMetal69,https://overstat.gg/player/3380057.FadingMetal63,FadingMetal69,None of us have played in the void leagues before,4,Platinum,All console,,
26/03/2025 17:57:08,Happy2BeHere,TheMauFactor,Themaufactor,https://overstat.gg/player/317145/overview,Themaufactor,Goodlookingsean,https://overstat.gg/player/290364.@goodlookingsean/overview,Goodlookingsean,Raptureisland,https://overstat.gg/player/1055.RaptureIsland/overview,R A P T U R E,"Yes, all 3 have",5,Masters,All PC,,
26/03/2025 18:00:05,OMG we love apex ,Mereoleona.-.,Mereoleona.-.,https://overstat.gg/player/82449.mereoleona%3C3/overview,Mereoleona<3,Clockwork6881,https://overstat.gg/player/1113013/overview,Itzclockwork,Huckleberry2319,https://overstat.gg/player/2471367/overview,Nightnight19,"2 of us have, 1 has not",5,Diamond,All PC,,
26/03/2025 18:05:59,Osaka,spaceman,spaceman,https://overstat.gg/player/2189472.spaceman/overview,spaceman,Eclipsie13,https://overstat.gg/player/2498880/overview,Eclipsie13_TTV,Winterdeadeye23,https://overstat.gg/player/146716.winterdeadeye23/overview,Winterdeadeye23,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 18:13:34,Baked Goods,jek__23,jek__23,https://overstat.gg/player/999600.JEK/overview,JEK,ph8l,https://overstat.gg/player/182305.MayBPh8L/overview,MayBPh8l,bakedpotato1213,https://overstat.gg/player/324277.BakedPotato1213/overview,BakedPotato1213,"Yes, all 3 have",4,Platinum,All PC,,
26/03/2025 18:14:03,norf norf,delli._.,delli._.,https://overstat.gg/player/1344492.delli/overview,delli,curtoose,https://overstat.gg/player/1344490.Chocolate%20Shake%2030g%20Protein/overview,chocolate shake 30g protein,rbv_sk8ter,https://overstat.gg/player/1106843.twitch%20%7C%20rbv_sk8ter/overview,rbv_sk8ter,"1 of us has, 2 have not",5,Masters,All PC,,
26/03/2025 18:18:17,Torchers,Horax.,Horax.,https://overstat.gg/player/2876487/overview,Horax,eddyjr85,https://overstat.gg/player/295002.eddyjr85/overview,eddyjr85,Haki,https://overstat.gg/player/1111463.Haki/overview,Haki,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 18:26:42,Code Leaf,"Lawlipawp, Tunada",Lawlipawp,https://overstat.gg/player/1614092.Lawlipawp/overview,Lawlipawp,Jinkx,https://overstat.gg/player/1614093/overview,Jinkx,Tunada,https://overstat.gg/player/1614094/overview,Tuna,"Yes, all 3 have",5,Platinum,All PC,,
26/03/2025 18:32:16,Patty Wagons,Magicc,Magicc,https://overstat.gg/player/3476577.Magicc/overview,Magicc,Jay.,https://overstat.gg/player/3476578.MyAlterEgoJay/overview,MyAlterEgoJay,ManiaxMatt,https://overstat.gg/player/3783259.ManiaxMatt/overview,ManiaxMatt,None of us have played in the void leagues before,3,Diamond,All PC,,
26/03/2025 18:47:09,Repulse Gaming,@itsnick27,RG_Itsnick,https://overstat.gg/player/163326.RG_ItsNick/overview,RG_ItsNick,AnbAdam10,https://overstat.gg/player/163042.RG%20Adam10/overview,RG Adam10,Parcifalog,https://overstat.gg/player/910643.RG-Parcifal/overview,RG-Parcifal,"Yes, all 3 have",3,Diamond,All console,,
26/03/2025 18:56:49,TACO,"WarsZ, iwkiwnl",WarsZ,https://overstat.gg/player/2036912.WarsZ/overview,WarsZ,https://overstat.gg/player/290366.ZumiL/overview,iwk-iwnl-,ZumiL,coliiingo,https://overstat.gg/player/2290823.ElAnonymous/overview,ElAnonymous,None of us have played in the void leagues before,5,Masters,All PC,,
26/03/2025 19:34:36,Maet Xepa,find0utt_TTV,find0utt_TTV,https://overstat.gg/player/255551.find0utt_TTV/overview,find0utt_TTV,emptheproto,https://overstat.gg/player/1003330.EMPTheProto%20on%20twitch/overview,EMPTheProto | Twitch,kevin100000,https://overstat.gg/player/2412059.Kexis_Arijia/overview,kevin,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 20:25:42,Bober,@ButterMyBreadWB,@ButterMyBreadWB,https://overstat.gg/player/1714435.Buttermybreadwbb/overview,iButterMyBreadWB,@Slump,https://overstat.gg/player/519108/overview,Slumpypoo,Argonaut,https://overstat.gg/player/332849/overview,Argonaut,"Yes, all 3 have",5,Masters,"Some PC, some console",,
26/03/2025 21:24:02,Top Whiffers,brando commando,brandocommando9893,https://overstat.gg/player/1410480.BrandoCommando/overview,BrandoCommando,thedark_king124,https://overstat.gg/player/1486411/overview,Pen5guin,epickiller17,https://overstat.gg/player/1628488/overview,epickiller17,"Yes, all 3 have",4,Diamond,All PC,,
26/03/2025 22:08:40,2CG1S,oalios,oalios,https://overstat.gg/player/965622/overview,oalios,nicky._,https://overstat.gg/player/3329663/overview,Stupid cat girl≽^•⩊•^≼,winnieapex,https://overstat.gg/player/451353/overview,Winnie,"1 of us has, 2 have not",5,Masters,All PC,,
26/03/2025 22:40:32,SLO,Coswi,Maj,https://apexlegendsstatus.com/profile/PC/majestic760,Maj,ItsJustKyle,https://apexlegendsstatus.com/profile/PC/imjustkyle,ItsJustKyle,Coswi,https://overstat.gg/player/1058630.Pope%20Coswi/overview,Otter,"2 of us have, 1 has not",3,Bronze,"Some PC, some console",,
26/03/2025 22:44:59,Yams in Paris,Hova,ryan.yeah (Hova),https://overstat.gg/player/753391/overview,Hova,goddamnironman,https://overstat.gg/player/969984/overview,goddamnironman,Coveted Yams,https://overstat.gg/player/2237719/overview,Coveted Yams,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 23:05:47,Rabid,tooonzz,tooonzz,https://overstat.gg/player/1010573/overview,Toonz,hound9572,https://overstat.gg/player/928044/overview,Hound,tphilly25,https://overstat.gg/player/925827/overview,YoNewDaddy,"Yes, all 3 have",4,Diamond,All PC,,
26/03/2025 23:41:01,Gay Agenda,neodeye,neodeye,https://overstat.gg/player/1003334/overview,SC neodeye,ryuzamarage,https://overstat.gg/player/715/overview,RyuzamaRage-Noice,thedanikay,https://overstat.gg/player/1101024/overview,Danikay,"2 of us have, 1 has not",2,Platinum,All PC,,
26/03/2025 23:47:29,Thr333Amigos,x_howdie_x,x_howdie_x,https://overstat.gg/player/519448.x_howdie_x/overview,x_howdie_x,snowyday,https://overstat.gg/player/47783.snowyday_/overview,snowyday_,luke3o4,no overstat,Ozempic Fiend,"2 of us have, 1 has not",3,Platinum,All PC,,
26/03/2025 23:52:07,MOTL Gaming,"kendallmpala, motlgg",Kahzïne,https://overstat.gg/player/588138.Kahzine/overview,Kahzïne,An74rkt1c,https://overstat.gg/player/548593.AN74RKT1C/overview,AN7,rPendulum,https://overstat.gg/player/40843.rPendulum/overview,rPendulum,"Yes, all 3 have",5,Diamond,"Some PC, some console",,
