Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
212,Twitch_MrNachoman,63.78,S12,,,92.43,15,8.0,Twitch_MrNachoman
213,xJusGavx,63.23,S12+S8,255.00,,32.06,10,6.0,"Gav.MLNT, xJusGavx"
214,Sangria,63.21,S12,,,100.33,5,4.0,Sangria
215,BakedPotato1213,63.18,S12,,,95.73,10,5.0,BakedPotato1213
216,SyruppWasTaken,62.93,S12,,,95.34,10,5.0,SyruppWasTaken
217,@WB_Mr. Wu,62.21,S12,,,76.80,35,10.0,@WB_Mr. Wu
218,XI PuGz,62.16,S12,,,94.19,10,5.0,XI PuGz
219,indigocross92,62.11,S12+S8,207.00,,46.84,5,4.0,indigocross92
220,chill guy kien,61.92,S12+S8,238.00,,38.78,5,4.0,chill guy kien
221,Swagmillion,61.41,S12,,,89.00,15,8.0,Swagmillion
222,Nannox,61.41,S12,,,75.81,35,10.0,Nannox
223,MannikTV,61.40,S12+S8,210.00,,40.53,10,5.0,MannikTV
224,SMZ Dragonite,61.27,S12+S8,199.00,,47.50,5,3.0,"SMZ Dragonite, find0utt_TTV, 100T sheppyk9"
225,Secrets™,61.11,S11+S12,,20.15,84.20,10,6.0,Secrets™
226,:)MrBr0janglessssTTV,61.07,S12+S8,128.00,,60.53,10,6.0,"OE_MrBr0jangless, MHM_MrBr0janglessTTV, :)MrBr0janglessssTTV"
227,Stitch,61.05,S12+S8,198.00,,43.01,10,5.0,"Hobojo, Stitch, muchmixture9"
228,imp,60.99,S12+S8,119.00,,62.65,10,5.0,"imp, impish"
229,phokkyu,60.73,S12+S8,135.00,,58.27,10,6.0,phokkyu
230,虎Tiger,60.64,S12,,,91.89,10,6.0,虎Tiger
231,blanK,60.58,S11+S12+S8,141.00,27.30,41.17,15,7.0,blanK
232,Goonther,60.48,S12+S8,97.00,,71.76,5,4.0,"mildly boof, Goonther"
233,FTB | SliceOfJAO,60.20,S12+S8,144.00,,59.56,5,4.0,FTB | SliceOfJAO
234,チ @Pann9a,59.98,S12,,,90.88,10,6.0,チ @Pann9a
235,Waly,59.94,S11+S12+S8,169.00,70.85,19.05,10,6.0,Waly
