Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
461,Toonzy,27.81,S12,,,44.14,5,3.0,Toonzy
462,Nedlock ネドロック,27.79,S12,,,42.10,10,6.0,Nedlock ネドロック
463,SummerLaneGG,27.71,S12,,,43.99,5,3.0,SummerLaneGG
464,graingerous,27.64,S12,,,41.87,10,5.0,graingerous
465,claud,27.60,S8,184.00,,,0,,claud
466,ILetBaddiesBeatMe13,27.55,S12,,,41.74,10,5.0,ILetBaddiesBeatMe13
467,chlls,26.97,S12,,,42.81,5,3.0,chlls
468,DrMrProfCoach,26.87,S12,,,38.94,15,8.0,DrMrProfCoach
469,Harmo,26.70,S12,,,40.45,10,5.0,Harmo
470,oalios,26.62,S8,169.00,,,5,3.0,"oalios, FSC | shape"
471,fpsboone,26.40,S8,176.00,,,0,,fpsboone
472,:)happiaka,26.34,S12,,,39.91,10,6.0,:)happiaka
473,SpaceGhostXero,26.34,S12,,,39.91,10,6.0,SpaceGhostXero
474,hxted's unk,26.20,S12,,,39.70,10,6.0,hxted's unk
475,Dalla,26.01,S12,,,39.40,10,6.0,Dalla
476,Gator Needs His Gat,25.95,S8,173.00,,,0,,Gator Needs His Gat
477,EXL_KNGKUMO,25.79,S11,,89.70,,15,8.0,EXL_KNGKUMO
478,EXL_LEEROYY,25.79,S11,,89.70,,15,8.0,EXL_LEEROYY
479,Mqples pet fish,25.70,S12,,,37.25,15,8.0,Mqples pet fish
480,MJ5044,25.65,S8,171.00,,,0,,MJ5044
481,Calbeast,25.65,S8,171.00,,,0,,Calbeast
482,YANKEE 6 XRAY,25.65,S8,171.00,,,0,,YANKEE 6 XRAY
483,Jestahzz,25.50,S12,,,38.63,10,6.0,Jestahzz
484,Brandon,25.48,S12,,,40.44,5,4.0,Brandon
485,Indy,25.35,S8,169.00,,,0,,Indy
486,ramshackle786,25.27,S12,,,40.12,5,4.0,ramshackle786
487,US-Fakezi,25.20,S8,168.00,,,0,,US-Fakezi
488,NSU Punk,25.18,S12,,,39.97,5,4.0,NSU Punk
489,GH0$T,25.03,S12,,,39.74,5,4.0,GH0$T
490,FALN | Stats,24.75,S8,165.00,,,0,,FALN | Stats
491,GS6abad95,24.49,S12,,,38.88,5,4.0,GS6abad95
492,lonewolf4114,24.29,S12+S8,114.00,,10.06,5,3.0,lonewolf4114
493,Miriahkay19,24.09,S12,,,38.25,5,4.0,Miriahkay19
494,Draigo,24.00,S8,160.00,,,0,,Draigo
495,yvngvvs23,24.00,S12,,,36.36,10,5.0,yvngvvs23
496,tommyfrontofyb,23.81,S12,,,37.80,5,3.0,tommyfrontofyb
497,Tomboys > Femboys,23.76,S8,144.00,,,10,5.0,Tomboys > Femboys
498,Ketchup Boy,23.60,S12,,,37.46,5,3.0,Ketchup Boy
499,mati,23.55,S8,157.00,,,0,,mati
500,Roller Abuser,23.41,S12,,,35.47,10,5.0,Roller Abuser
501,Biomains,23.32,S12,,,35.34,10,5.0,Biomains
502,CrashOutQueen,23.32,S12,,,35.33,10,5.0,CrashOutQueen
503,Eppie,23.25,S8,155.00,,,0,,Eppie
504,boobert,23.10,S8,154.00,,,0,,boobert
505,Lime Grass 0,23.06,S12,,,36.61,5,3.0,Lime Grass 0
506,AS1AN M1KE,22.93,S12+S8,145.00,,0.14,5,3.0,AS1AN M1KE
507,Sneaky,22.90,S12,,,34.69,10,5.0,Sneaky
508,Xiums,22.80,S8,152.00,,,0,,Xiums
509,Figgy14,22.80,S8,152.00,,,0,,Figgy14
510,MaschidezinTV,22.80,S8,152.00,,,0,,MaschidezinTV
511,The Real Slim Shady,22.80,S8,152.00,,,0,,The Real Slim Shady
512,DosEquisMan,22.80,S8,152.00,,,0,,DosEquisMan
513,Kolosusx,22.65,S8,151.00,,,0,,Kolosusx
514,snatched lime9,22.61,S11,,78.65,,15,8.0,snatched lime9
515,ghost,22.59,S12,,,34.23,10,5.0,ghost
516,slump,22.55,S11+S12,,5.85,33.35,5,4.0,"slump, iButterMyBreadWB"
517,slap,22.51,S12,,,34.11,10,6.0,slap
518,JustTam1r-TTV,22.49,S12,,,34.07,10,5.0,JustTam1r-TTV
519,Lurchie,22.49,S12,,,35.69,5,3.0,Lurchie
520,Kozmohs1,22.42,S11,,78.00,,15,8.0,Kozmohs1
521,Nythros,22.38,S12,,,35.52,5,3.0,Nythros
522,Medic x HUNTR/X,22.24,S11,,77.35,,15,8.0,Medic x HUNTR/X
523,Frogs,21.90,S8,146.00,,,0,,Frogs
524,phuzzapa,21.79,S12,,,34.59,5,3.0,phuzzapa
525,mer,21.75,S8,145.00,,,0,,mer
526,Master Oogway,21.30,S12,,,32.27,10,6.0,Master Oogway
527,Hootels,21.16,S12,,,32.06,10,6.0,Hootels
528,NSU_RayJi,21.09,S12,,,33.47,5,4.0,NSU_RayJi
529,@rGhxsty,21.01,S12,,,33.35,5,4.0,@rGhxsty
530,Meepmoe6,20.95,S8,133.00,,,5,3.0,Meepmoe6
531,@ICEDOUTLIFEALERT,20.52,S12,,,31.09,10,5.0,@ICEDOUTLIFEALERT
532,MikieDelliii,20.40,S8,136.00,,,0,,MikieDelliii
533,JackHeDoesIt,20.40,S8,136.00,,,0,,JackHeDoesIt
534,BossBBALLER101,20.40,S8,136.00,,,0,,BossBBALLER101
535,[Experimental AI Bot]29.319.17,20.25,S8,135.00,,,0,,[Experimental AI Bot]29.319.17
536,blujay._,20.19,S12,,,29.26,15,8.0,blujay._
537,funsizednenax3,20.15,S12,,,31.98,5,4.0,funsizednenax3
538,Nilak,19.92,S12+S8,95.00,,7.86,5,4.0,Nilak
539,TGUN_Trivial,19.82,S12,,,31.45,5,4.0,TGUN_Trivial
540,twitch.tv/find0utt,19.80,S12,,,31.42,5,4.0,twitch.tv/find0utt
541,K_wal8,19.71,S12,,,29.86,10,5.0,K_wal8
542,Monke,19.59,S12,,,29.69,10,5.0,Monke
543,sfs spoken,19.31,S12,,,30.65,5,3.0,sfs spoken
544,twitch.tv/ruiin999,19.25,S11,,66.95,,15,8.0,twitch.tv/ruiin999
545,TurtlFPS,19.20,S8,128.00,,,0,,TurtlFPS
546,SAF Newbmaster69,18.82,S12,,,29.87,5,3.0,SAF Newbmaster69
547,Exillade,18.75,S8,125.00,,,0,,Exillade
548,SU_Hero_,18.71,S12,,,29.70,5,3.0,SU_Hero_
549,ChaosGoesLive,18.45,S8,123.00,,,0,,ChaosGoesLive
550,MannyFnG,18.39,S12,,,29.19,5,3.0,MannyFnG
551,YGPhiend,18.39,S12,,,29.19,5,3.0,YGPhiend
552,groupty,18.13,S11,,63.05,,15,8.0,groupty
553,RG_CPTMurph24,18.00,S8,120.00,,,0,,RG_CPTMurph24
554,Raskkal,18.00,S12,,,28.57,5,3.0,Raskkal
555,weird fishes,17.85,S8,119.00,,,0,,weird fishes
556,RageKage,17.70,S12,,,28.09,5,3.0,RageKage
557,ArticWolf,17.70,S12,,,28.09,5,3.0,ArticWolf
558,SMZ ZAIKKO,17.64,S12,,,28.00,5,3.0,SMZ ZAIKKO
559,Kellz10123,17.64,S12,,,28.00,5,3.0,Kellz10123
560,No Brain,17.57,S11,,61.10,,15,8.0,No Brain
561,F3AR TRA1N,17.54,S12,,,27.85,5,3.0,F3AR TRA1N
562,ENVYxSkillet,17.40,S8,116.00,,,0,,ENVYxSkillet
563,Heret1c,17.25,S8,115.00,,,0,,Heret1c
564,Beanboy,17.25,S8,115.00,,,0,,Beanboy
565,Hud,17.25,S8,115.00,,,0,,Hud
566,narwhal,17.25,S8,115.00,,,0,,narwhal
567,AmericanMan,17.10,S8,114.00,,,0,,AmericanMan
568,rrroselia,17.10,S8,114.00,,,0,,rrroselia
569,ClarkGriswold,16.94,S12,,,26.89,5,4.0,ClarkGriswold
570,TheLittlefoot93,16.94,S12,,,26.89,5,4.0,TheLittlefoot93
571,Kenji,16.90,S12,,,25.60,10,6.0,Kenji
572,BklynzKilla90,16.65,S8,111.00,,,0,,BklynzKilla90
573,TNX Xireq,16.30,S12,,,25.88,5,4.0,TNX Xireq
574,RHE_Big-Nate54,16.24,S12,,,25.78,5,4.0,RHE_Big-Nate54
575,EXL Unordinary ekiM,16.20,S8,108.00,,,0,,EXL Unordinary ekiM
576,andra ∞,16.12,S12,,,25.58,5,4.0,andra ∞
577,amieable,16.05,S8,107.00,,,0,,amieable
578,Samus54,16.05,S8,107.00,,,0,,Samus54
579,LVS_Falcon,15.88,S11,,55.25,,15,8.0,LVS_Falcon
580,TONYPIKACHU,15.45,S8,103.00,,,0,,TONYPIKACHU
581,faust_aka_furux,15.45,S12,,,24.52,5,3.0,faust_aka_furux
582,GTheBirdKing,15.23,S12,,,24.17,5,3.0,GTheBirdKing
583,o7 o7 o7,15.14,S11,,52.65,,15,8.0,o7 o7 o7
584,Arc_PC,14.76,S11,,51.35,,15,8.0,Arc_PC
585,tzunomi | TTV,14.73,S12,,,23.37,5,3.0,tzunomi | TTV
586,Sammie,14.70,S8,98.00,,,0,,Sammie
587,Prosperitv,14.70,S8,98.00,,,0,,Prosperitv
588,l Belfour l20l,14.68,S12,,,23.31,5,3.0,l Belfour l20l
589,IDKTThomas,14.67,S12,,,23.28,5,3.0,IDKTThomas
590,Elyruis,14.67,S12,,,23.28,5,3.0,Elyruis
591,@Tdobzz,14.38,S12,,,22.83,5,3.0,@Tdobzz
592,luke3o4,14.37,S12,,,22.82,5,3.0,luke3o4
593,BaByBuStD0wn_,14.19,S12,,,22.52,5,3.0,BaByBuStD0wn_
594,@Jaeger_Dyn,14.17,S12,,,21.47,10,5.0,@Jaeger_Dyn
595,SwiftieC,14.13,S12,,,22.43,5,3.0,SwiftieC
596,Josizino,14.05,S12,,,21.29,10,5.0,Josizino
597,BABYJOKWR,13.90,S12,,,22.07,5,3.0,BABYJOKWR
598,TexasTrash9,13.81,S12,,,21.92,5,3.0,TexasTrash9
599,MDeVivo,13.75,S12,,,21.83,5,3.0,MDeVivo
600,SarebearFive,13.55,S12,,,21.51,5,3.0,SarebearFive
601,Jubella,13.55,S12,,,21.50,5,3.0,Jubella
602,Broom,13.27,S11,,46.15,,15,8.0,Broom
603,Denk Jenkinson,13.07,S12,,,20.75,5,4.0,Denk Jenkinson
604,LovePhenomenon,12.97,S12,,,20.59,5,3.0,LovePhenomenon
605,ayla,12.85,S12,,,20.39,5,4.0,ayla
606,PastrDisastr348,12.71,S12,,,20.17,5,4.0,PastrDisastr348
607,@WreckerActual,12.42,S12,,,19.72,5,4.0,@WreckerActual
608,DunnoU,12.42,S11+S8,33.00,25.35,,10,6.0,DunnoU
609,Sexton Shuffle,12.32,S12,,,19.55,5,4.0,Sexton Shuffle
610,StrawberryPhox,11.09,S12,,,17.60,5,3.0,StrawberryPhox
611,EXL_FLYXSS,10.84,S11,,37.70,,15,8.0,EXL_FLYXSS
612,TU Zycen,10.84,S12,,,17.20,5,3.0,TU Zycen
613,NoPeelNeko,10.76,S12,,,17.07,5,3.0,NoPeelNeko
614,Girth,10.69,S12,,,16.97,5,3.0,Girth
615,B_Trasher,10.67,S12,,,16.93,5,3.0,B_Trasher
616,Freakylicous,10.66,S12,,,16.92,5,3.0,Freakylicous
617,OE_remydees,10.63,S12,,,16.87,5,3.0,OE_remydees
618,Cono,10.55,S12,,,16.74,5,3.0,Cono
619,Evoke,10.47,S11,,36.40,,15,8.0,Evoke
620,TyreHeat,10.45,S12,,,16.59,5,3.0,TyreHeat
621,Dies Irae,10.45,S12,,,16.59,5,3.0,Dies Irae
622,no ttv pushn40,10.41,S12,,,16.53,5,3.0,no ttv pushn40
623,mind goblin,10.40,S12,,,16.50,5,3.0,mind goblin
624,MicahiscooYT,10.29,S12,,,16.33,5,3.0,MicahiscooYT
625,StonyBolognaa | Twitch,10.20,S12,,,16.19,5,3.0,StonyBolognaa | Twitch
626,m3a0w,10.09,S11,,35.10,,15,8.0,m3a0w
627,Whiffy,10.03,S12,,,15.19,10,5.0,Whiffy
628,Plaiqu,10.00,S12,,,15.87,5,3.0,Plaiqu
629,Bsteph13,9.90,S12,,,15.72,5,3.0,Bsteph13
630,oFFMenu,9.60,S12,,,15.24,5,3.0,oFFMenu
631,HOLLOW,9.17,S12,,,14.56,5,3.0,HOLLOW
632,Training Arc,8.94,S12,,,14.20,5,3.0,Training Arc
633,rukaaiscool556,8.94,S11,,32.50,,10,6.0,rukaaiscool556
634,tso,8.76,S11,,31.85,,10,6.0,tso
635,ac__ca\vt.hctiwt,8.58,S11,,31.20,,10,6.0,ac__ca\vt.hctiwt
636,ctrl,8.40,S11,,30.55,,10,6.0,ctrl
637,Reavor,8.19,S12,,,13.01,5,4.0,Reavor
638,JustVibing4829,8.04,S11,,29.25,,10,6.0,JustVibing4829
639,ruin.,7.59,S12,,,12.04,5,4.0,ruin.
640,Ghost Dyga,7.34,S12,,,11.65,5,3.0,Ghost Dyga
641,Tylenol induced autism,6.66,S12,,,10.57,5,3.0,Tylenol induced autism
642,UltNotReady,6.35,S12,,,10.09,5,3.0,UltNotReady
643,FadingMetal63,6.34,S12,,,10.06,5,3.0,FadingMetal63
644,HacKz,6.24,S12,,,9.45,10,5.0,HacKz
645,FTB | NaskOnSomn,6.15,S12,,,9.76,5,3.0,FTB | NaskOnSomn
646,YOUTHFUL FILIPINO ROLLER PRODIGY,5.86,S12,,,9.30,5,3.0,YOUTHFUL FILIPINO ROLLER PRODIGY
647,Sherm,5.76,S12,,,9.15,5,3.0,Sherm
648,IGY6 DeeMochuu,5.53,S12,,,8.78,5,3.0,IGY6 DeeMochuu
649,TheKidVolg,5.41,S12,,,8.59,5,3.0,TheKidVolg
650,camaleonrosado,4.97,S12,,,7.88,5,4.0,camaleonrosado
651,SMZ Reason,4.87,S12,,,7.73,5,3.0,SMZ Reason
652,Majeta23,4.65,S11,,16.90,,10,6.0,Majeta23
653,Flanksteak,4.61,S12,,,7.32,5,3.0,Flanksteak
654,CG honeybee aries,4.35,S8,29.00,,,0,,CG honeybee aries
655,l0tusStar,4.05,S8,27.00,,,0,,l0tusStar
656,WALLSHIFT,4.05,S8,27.00,,,0,,WALLSHIFT
657,tuna!,3.40,S11,,12.35,,10,6.0,tuna!
658,OverratedMax,2.86,S11,,10.40,,10,6.0,OverratedMax
659,ボイディ,2.51,S12,,,3.98,5,3.0,ボイディ
660,h u s k y,2.38,S12,,,3.78,5,3.0,h u s k y
661,guardiantroop6,2.10,S12,,,3.33,5,3.0,guardiantroop6
662,萧瑟,2.05,S11,,7.80,,5,4.0,萧瑟
663,Dom,1.54,S11,,5.85,,5,4.0,Dom
664,joaqie,1.49,S12,,,2.37,5,3.0,joaqie
665,ExternalAPEX,1.49,S12,,,2.36,5,3.0,ExternalAPEX
666,OE Hoodie,1.44,S12,,,2.28,5,3.0,OE Hoodie
667,EST_PeePee,1.41,S12,,,2.24,5,3.0,EST_PeePee
668,#prayersmade,1.37,S12,,,2.17,5,3.0,#prayersmade
669,Vin,1.27,S12,,,2.02,5,3.0,Vin
670,Greywaren99,1.26,S12,,,2.00,5,3.0,Greywaren99
671,StratocLP,1.26,S12,,,2.00,5,3.0,StratocLP
672,TacoEnjoyer,0.69,S12,,,1.09,5,3.0,TacoEnjoyer
673,IGY6 theeJambro,0.17,S11,,0.65,,5,4.0,IGY6 theeJambro
674,Wolf,0.09,S12,,,0.14,5,3.0,Wolf
675,Maavi,0.00,S12,,,,5,3.0,Maavi
