Rank,Team Name,Team Rating,Tier,Player 1,Player 2,Player 3,P1 Rating,P2 Rating,P3 Rating
1,Greasy Boyz,190.00,S+,Zboy5z5,BrodE,Bvtterr,207.79,224.03,138.18
2,Spooky Buttcheeks,183.74,S+,Lau,Mysteryz,Tragic,253.90,197.18,100.13
3,ONYX,156.09,S+,super sub lumdum,SoaR Lumi,babylight,214.84,227.89,25.53
4,Kissing Your Dads Toes,134.86,S,Nopes Ropes,ColedColedWorld,ejustice74,143.91,128.80,131.86
5,ByFire,132.51,S,Seeby,Kaido,Durxy,184.80,155.19,57.53
6,Crashing Out,130.03,S,Muchmixture9,Hobojo,Shape Generator,155.04,155.04,80.00
7,FCK,122.60,A+,Lastcall,Shouli,PGK,144.52,128.62,94.66
8,Necrotic,122.20,A+,0ptical,Nutty_fps,Cudi_fps,151.16,80.00,135.43
9,Silly Little Chocobo's,119.78,A+,Sleeping,Penguinii,dasledgehammer,118.69,153.60,87.04
10,Karnage,117.35,A+,Karnivorrr,TheGunner2533,HA1L RG3,103.46,119.61,128.96
11,Frozen Powerade,115.19,A+,AriFGC,DarkApex,¿SABER?,103.00,140.00,102.56
12,Hectic City,105.68,A,Dvpaper,ryujii.x,agtoop,157.03,80.00,80.00
13,Eclipse,105.07,A,alliefps,wawzi,priiznn,80.00,107.96,127.26
14,Saga,102.14,A,Truth,caro,Noxums,64.86,94.00,147.56
15,Sword,101.37,A,compliant,5dchar,BleachhFPS,21.04,80.00,203.07
16,Nightmare Collective,100.95,A,MOTL Kahzine,LFT-LostHope,rRekra,188.19,80.00,34.67
17,Yams in Paris,98.96,B+,Hova,goddamnironman,Coveted Yams,148.01,80.20,68.68
18,Fools Gold,98.78,B+,@SquirtzApex,zegion,kryobloom,134.03,63.75,98.54
19,The Cult,97.94,B+,zourafa12,Indigo,laceycs,138.51,80.00,75.32
20,ThirdPartyKings,96.67,B+,AN74RKT1C,RN blanK,uorax,148.18,66.65,75.17
21,No Peel,93.05,B+,HaKobo,baughty,GGMantisToboggan,115.99,113.35,49.79
22,100L X hakistat.com,92.14,B+,spaceman,eidolon7,ntdrose12,116.41,80.00,80.00
23,Waffle Cone,91.15,B+,F5 | Stabjackal,the-optimistic-stoic,BruddahZimm,92.77,56.29,124.41
