Rank,Player Name,Rating,Tier,Seasons Played,Top Lobby Bonus
1,Lau,222.66,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
2,Zboy5z5,185.05,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
3,BrodE,181.00,S+,"S, 1, 1, +, S, 1, 2",No
4,Mysteryz,180.30,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
5,lum,179.79,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 5",No
6,CHUDMAXXING,179.72,S+,"S, 1, 1, +, S, 1, 2",No
7,Bleachh,160.42,S+,"S, 1, 1, +, S, 1, 2",No
8,NC Kahzïne,160.09,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
9,Anteatter,159.36,S,"S, 1, 1",No
10,Stitch,154.16,S,"S, 1, 2, +, S, 5, +, S, 8, +, S, 8, +, S, 8",No
11,acb,147.02,S,"S, 1, 1, +, S, 1, 2",No
12,Noxums,143.21,S,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 5, +, S, 6, +, S, 8",No
13,Nopes Ropes,141.84,S,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
14,Hova,138.74,A+,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
15,Penguinii,138.58,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
16,zourafa12,135.85,A+,"S, 1, 2, +, S, 6, +, S, 8",No
17,BF Kaidostreams,134.22,A+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
18,Dvpaper,129.20,A+,"S, 1, 1, +, S, 1, 2",No
19,ejustice74,128.65,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
20,Lastcall,128.52,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
21,0ptical,127.50,A+,"S, 1, 1, +, S, 1, 2, +, S, 5",No
22,ColedColedWorld,127.04,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
23,HA1L RG3,124.86,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
24,An7,124.59,A+,"S, 1, 1, +, S, 1, 2, +, S, 5",No
25,Bvtterr,123.59,A+,"S, 1, 1, +, S, 1, 2, +, S, 6",No
26,wattsonswittlepuppywoof,120.43,A+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
27,cudi,120.04,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
28,KindlyMonkey,119.55,A,"S, 1, 2, +, S, 8, +, S, 8",No
29,TheGunner2533,117.72,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
30,Freak Newcastle,117.49,A,"S, 1, 2, +, S, 8",No
31,PureAqua | ExE?,116.20,A,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 8",No
32,Zimm,115.46,A,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
33,Almanymede,114.91,A,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
34,@YoJokerz,112.62,A,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
35,twitch.tv/kozmohs,112.20,A,"S, 1, 1",No
36,Sleeping,111.74,A,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
37,HaKobo,110.70,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
38,DarkApex,110.24,A,"S, 1, 1, +, S, 1, 2",No
39,Baughty,110.12,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
40,Dare,110.04,A,"S, 1, 1",No
41,priiznn,105.43,A,"S, 1, 1, +, S, 1, 2",No
42,TNL_Colt,105.12,A,"S, 1, 1",No
43,Mr_Hands_20,102.56,A,"S, 5, +, S, 6, +, S, 8",No
44,Karnivorrr,102.46,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
45,Saaaber,102.15,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
46,Shouli,102.05,A,"S, 1, 1, +, S, 1, 2",No
47,Kevin,101.98,A,"S, 1, 2, +, S, 8",No
48,twitch.tv/apguapo,101.08,A,"S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
49,kat,100.92,A,"S, 1, 2, +, S, 8",No
50,indigocross92,100.49,A,"S, 1, 2, +, S, 6, +, S, 8",No
51,That Shark Bitch,100.21,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
52,Hawkeye2552,99.40,B+,"S, 5, +, S, 6, +, S, 8",No
53,t,97.19,B+,"S, 1, 2, +, S, 6",No
54,unix._,97.18,B+,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
55,eidolon,97.16,B+,"S, 1, 1, +, S, 1, 2",No
56,ChefMike,96.55,B+,"S, 1, 2, +, S, 6, +, S, 8, +, S, 8",No
57,GRO gLow,95.83,B+,"S, 1, 2, +, S, 8",No
58,PZ1A,95.35,B+,"S, 1, 2, +, S, 4, +, S, 8",No
59,SoleSky,95.16,B+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
60,Eddy,95.13,B+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
61,Zaphyツ,95.04,B+,"S, 1, 1",No
62,NØKK,94.64,B+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
63,AUTHOR,94.58,B+,"S, 5, +, S, 6, +, S, 8",No
64,bradyvision,94.44,B+,"S, 1, 2, +, S, 8",No
65,spaceman,94.14,B+,"S, 1, 1, +, S, 1, 2",No
66,zCrackdown,94.02,B+,"S, 1, 1, +, S, 4, +, S, 5, +, S, 6",No
67,F5 | Stabjackal TTV,93.66,B+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
68,BigBen,93.44,B+,"S, 1, 2, +, S, 8",No
69,TwelveGage,92.09,B+,"S, 1, 2, +, S, 4, +, S, 6, +, S, 8",No
70,Hylandbound,91.43,B+,"S, 5, +, S, 8",No
71,kraag,90.64,B+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
72,wawzi,90.58,B+,"S, 1, 1, +, S, 1, 2",No
73,shueisha,88.78,B+,"S, 1, 2, +, S, 8",No
74,DH_Soda,86.53,B+,"S, 1, 1, +, S, 1, 2",No
75,OzWaldo,85.92,B+,"S, 1, 1",No
76,ImSh1ny,85.74,B+,"S, 1, 2, +, S, 8",No
77,AiymAPotato,85.68,B+,"S, 1, 2, +, S, 8",No
78,Dusterbia,85.68,B+,"S, 1, 2, +, S, 8",No
79,ARI!,85.12,B+,"S, 1, 1, +, S, 1, 2, +, S, 6",No
80,SMZ Dragonite,85.03,B+,"S, 1, 2, +, S, 8, +, S, 8",No
81,xestefy_,84.98,B,"S, 1, 2, +, S, 8",No
82,PureAqua | Ltto,84.74,B,"S, 1, 1, +, S, 1, 2, +, S, 8",No
83,VENGER_YT,84.36,B,"S, 1, 2",No
84,NuTTy,83.91,B,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
85,Haki,83.47,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
86,caro,83.27,B,"S, 1, 1, +, S, 1, 2, +, S, 8",No
87,Doctor Eloc,82.26,B,"S, 5, +, S, 6, +, S, 8",No
88,Cezr,81.95,B,"S, 1, 2, +, S, 8",No
89,StoneSpy946,81.69,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
90,mIsTer_gAbRielLL,81.57,B,"S, 1, 2, +, S, 4, +, S, 5",No
91,Graffix,81.30,B,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
92,Scarab6232,80.96,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
93,TsF MonTy,79.52,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
94,DASLEDGEHAMMER,79.28,B,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5",No
95,ChosenSky,79.18,B,"S, 1, 1, +, S, 6",No
96,kallax,79.08,B,"S, 4, +, S, 5, +, S, 6",No
97,LeaderOfTheBees,78.72,B,"S, 1, 1",No
98,Omnipotene,78.24,B,"S, 1, 1",No
99,Broom,77.39,B,"S, 1, 1, +, S, 4, +, S, 5, +, S, 6",No
100,maufctr,77.37,B,"S, 1, 1, +, S, 1, 2",No
101,xCopiumso,77.33,B,"S, 1, 2, +, S, 8",No
102,Todo_apex,77.28,B,"S, 1, 1",No
103,winterdeadeye23,76.76,B,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 6, +, S, 8",No
104,goodlookingsean,76.52,B,"S, 1, 1, +, S, 1, 2",No
105,PGK,75.92,B,"S, 1, 1, +, S, 1, 2",No
106,Oshe,75.38,B,"S, 1, 2, +, S, 8",No
107,goddamnironman,75.09,B,"S, 1, 2, +, S, 8",No
108,PALMS,75.06,B,"S, 1, 1, +, S, 1, 2, +, S, 8",No
109,EST Wattzz,74.40,B,"S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
110,JackHeDoesIt,74.38,B,"S, 4, +, S, 5, +, S, 6, +, S, 8",No
111,BossBBALLER101,74.38,B,"S, 4, +, S, 5, +, S, 6, +, S, 8",No
112,laceycs,73.59,B,"S, 1, 2, +, S, 6, +, S, 8",No
113,Calbeast,73.41,B,"S, 5, +, S, 6, +, S, 8",No
114,ferris66,73.41,B,"S, 4, +, S, 5, +, S, 6",No
115,SirNaughty1,72.98,B,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
116,MOTL DduckyG,72.60,B,"S, 1, 2, +, S, 6, +, S, 8",No
117,Viva GOON,71.96,B,"S, 4, +, S, 5, +, S, 6",No
118,MikieDelliii,71.86,B,"S, 4, +, S, 5, +, S, 6, +, S, 8",No
119,MattyK3NG,71.26,B,"S, 1, 2, +, S, 8",No
120,Uorax,71.13,B,"S, 1, 1, +, S, 1, 2, +, S, 8",No
121,Groliver86,70.55,B,"S, 1, 2, +, S, 8",No
122,NightNight,70.43,B,"S, 1, 2, +, S, 8",No
123,Xyrosec,69.98,C+,"S, 1, 2, +, S, 8",No
124,The Corrupt Teacher,69.52,C+,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
125,TheCoolPanda_,69.28,C+,"S, 1, 2",No
126,SlyTitan,69.25,C+,"S, 1, 1, +, S, 4, +, S, 5",No
127,XEL Decimation,69.24,C+,"S, 1, 2",No
128,PZ2A,68.81,C+,"S, 1, 1, +, S, 1, 2",No
129,Wolfer,68.69,C+,"S, 1, 1, +, S, 6, +, S, 8",No
130,ntROZE,68.09,C+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
131,AngryS0da,67.88,C+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
132,XEL iklipsa,67.35,C+,"S, 1, 2",No
133,eddyjr85,67.10,C+,"S, 4, +, S, 5, +, S, 6",No
134,Fartman,66.66,C+,"S, 1, 2, +, S, 8",No
135,DaS8157,66.61,C+,"S, 1, 2, +, S, 8",No
136,blanK,66.46,C+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 8",No
137,DmanLOC,66.44,C+,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
138,YANKEE 6 XRAY,65.63,C+,"S, 5, +, S, 6, +, S, 8",No
139,DH_EMPTheProto,65.47,C+,"S, 1, 2, +, S, 6, +, S, 8",No
140,JuiceboxSlays,65.16,C+,"S, 1, 2, +, S, 8",No
141,Coveted Yams,64.49,C+,"S, 1, 2, +, S, 8",No
142,Crash,64.44,C+,"S, 1, 2, +, S, 8",No
143,Bagel,64.33,C+,"S, 4, +, S, 5, +, S, 6",No
144,LB Muggso,64.33,C+,"S, 4, +, S, 5, +, S, 6",No
145,KoolAidMan,64.17,C+,"S, 5, +, S, 6",No
146,OverratedMax,63.87,C+,"S, 1, 1, +, S, 5, +, S, 6",No
147,Jinkx,63.16,C+,"S, 6, +, S, 8",No
148,EST MANGO XHANDER,63.01,C+,"S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
149,Deetray,62.40,C+,"S, 1, 1",No
150,CF: TTV-ParcifalOg1,62.15,C+,"S, 1, 2, +, S, 8",No
151,mer,62.00,C+,"S, 5, +, S, 6, +, S, 8",No
152,Potter,61.63,C+,"S, 1, 2, +, S, 4, +, S, 8",No
153,Dijaii,61.53,C+,"S, 1, 2",No
154,Cyferzn,61.42,C+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
155,Prophecy,61.24,C+,"S, 6",No
156,Luzer,61.13,C+,"S, 5, +, S, 6",No
157,Truth,60.86,C+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
158,Jakoby,60.84,C+,"S, 1, 1",No
159,xJusGavx,60.64,C+,"S, 1, 2, +, S, 8",No
160,@Mootzel,60.39,C+,"S, 1, 2, +, S, 8",No
161,TH | Nick,60.37,C+,"S, 1, 2, +, S, 8",No
162,Supreme,59.97,C,"S, 1, 2, +, S, 6, +, S, 8",No
163,cxedt on all platforms,59.81,C,"S, 1, 2",No
164,MoistKnight2443,59.75,C,"S, 1, 2, +, S, 6, +, S, 8",No
165,TONYPIKACHU,59.66,C,"S, 6, +, S, 8",No
166,CapybarasGoRAWRR,59.64,C,"S, 1, 2",No
167,baeV,59.50,C,"S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
168,ZTtheman,59.44,C,"S, 4, +, S, 5, +, S, 6",No
169,AllieFPS | Twitch,59.26,C,"S, 1, 1, +, S, 1, 2",No
170,CF Mango,59.02,C,"S, 1, 2, +, S, 8",No
171,PettyPenguin39,58.78,C,"S, 1, 2",No
172,RBD yonewdaddy,58.66,C,"S, 1, 2, +, S, 5, +, S, 8",No
173,Monarch5079,58.19,C,"S, 5, +, S, 6",No
174,zegion,57.92,C,"S, 1, 1, +, S, 1, 2, +, S, 8",No
175,chill guy kien,57.59,C,"S, 1, 2, +, S, 8",No
176,@ArtemisGG_,57.51,C,"S, 1, 2, +, S, 8",No
177,DH_Turtle Guy,57.28,C,"S, 1, 1, +, S, 1, 2",No
178,ehayes121,57.19,C,"S, 1, 2, +, S, 6, +, S, 8",No
179,:O,57.06,C,"S, 1, 2, +, S, 8",No
180,Hot4Wattson,56.89,C,"S, 5, +, S, 6",No
181,EmJay913,56.89,C,"S, 5, +, S, 6",No
182,l Xploded l,56.89,C,"S, 5, +, S, 6",No
183,PTtheman,56.63,C,"S, 4, +, S, 5, +, S, 6",No
184,ixf_23,55.95,C,"S, 4, +, S, 5, +, S, 6",No
185,Saki :D,55.83,C,"S, 1, 2, +, S, 8",No
186,XZL fifiLilGuy,55.56,C,"S, 1, 2, +, S, 4",No
187,uFears,55.41,C,"S, 1, 2, +, S, 8",No
188,iiRonnoc,55.33,C,"S, 1, 2, +, S, 6, +, S, 8",No
189,JEK,55.18,C,"S, 1, 2, +, S, 8",No
190,G2theRiffin,55.12,C,"S, 1, 2, +, S, 8",No
191,FTB | Hunkulesss,55.11,C,"S, 1, 2, +, S, 8",No
192,UTSA_NEVANttv,54.89,C,"S, 4, +, S, 5",No
193,JUIICE,54.89,C,"S, 4, +, S, 5",No
194,LNC_Viper,54.65,C,"S, 1, 2, +, S, 8",No
195,Waly,53.59,C,"S, 1, 1, +, S, 1, 2, +, S, 8",No
196,Viva Acee,53.37,C,"S, 4, +, S, 5, +, S, 6",No
197,Phoenix.MLNT,53.10,C,"S, 8",No
198,the-optimistic-stoic,52.56,C,"S, 1, 2, +, S, 6",No
199,FlareNotFlair,52.44,C,"S, 1, 1",No
200,Lame A Train,52.02,C,"S, 8",No
201,Goomba on a Roomba,51.93,C,"S, 1, 2, +, S, 8",No
202,HP Bunker,51.68,C,"S, 4, +, S, 6",No
203,Viridae,51.02,C,"S, 1, 2, +, S, 4, +, S, 6",No
204,ChubbyChinchilla8,50.79,C,"S, 1, 1, +, S, 1, 2",No
205,ImTheBigFork,50.63,C,"S, 1, 2, +, S, 8",No
206,Fuzz,50.44,C,"S, 1, 1, +, S, 1, 2, +, S, 8",No
207,MannikTV,50.41,C,"S, 1, 2, +, S, 8",No
208,@BilliardHorn,49.92,C-,"S, 1, 2, +, S, 8",No
209,Lui,49.85,C-,"S, 1, 2",No
210,TTV iXM1kos,49.85,C-,"S, 1, 2",No
211,GGMantisToboggan,49.25,C-,"S, 1, 2, +, S, 8",No
212,PRDX_Jokr,49.25,C-,"S, 1, 2, +, S, 8",No
213,furryCheese,49.14,C-,"S, 1, 1, +, S, 5",No
214,Raz,49.12,C-,"S, 1, 2, +, S, 8",No
215,BF Durxy,48.87,C-,"S, 1, 1, +, S, 1, 2",No
216,HotKnockz,48.43,C-,"S, 1, 1, +, S, 1, 2",No
217,pat,48.42,C-,"S, 1, 2, +, S, 8",No
218,CF TTV Teach da youth,48.35,C-,"S, 1, 2, +, S, 8",No
219,BaM_Clutch,48.25,C-,"S, 1, 2, +, S, 6, +, S, 8",No
220,Viva Grad,48.09,C-,"S, 4, +, S, 5, +, S, 6",No
221,LAZY3D,48.00,C-,"S, 1, 1",No
222,EagleUSA,47.85,C-,"S, 1, 2, +, S, 8",No
223,FSU_IamAtomicTV,47.70,C-,"S, 8",No
224,Syndicate50,47.70,C-,"S, 8",No
225,Enderphor,47.66,C-,"S, 1, 2, +, S, 8",No
226,ZeroGLHF,47.34,C-,"S, 1, 2, +, S, 8",No
227,Hun7er_TV,46.83,C-,"S, 1, 2",No
228,Ur Dads Favorite Player,46.71,C-,"S, 4, +, S, 5",No
229,amieable,46.66,C-,"S, 4, +, S, 5, +, S, 8",No
230,Becka,46.65,C-,"S, 1, 2, +, S, 8",No
231,cafnated,46.42,C-,"S, 4, +, S, 5, +, S, 6",No
232,Aero,46.12,C-,"S, 1, 2, +, S, 8",No
233,@WB_Killua,45.95,C-,"S, 1, 2",No
234,Knightmare411,45.94,C-,"S, 4, +, S, 5, +, S, 6",No
235,x_howdie_x,45.89,C-,"S, 1, 2, +, S, 8",No
236,FlexinGhostaJ,45.86,C-,"S, 6",No
237,Cherm,45.75,C-,"S, 1, 2, +, S, 8",No
238,Jhonpii,45.61,C-,"S, 5, +, S, 6",No
239,BobbyBooshayy,45.48,C-,"S, 1, 2, +, S, 8",No
240,faust_aka_furux,45.12,C-,"S, 1, 2, +, S, 5, +, S, 6",No
241,R A P T U R E,45.12,C-,"S, 1, 1, +, S, 1, 2",No
242,phokkyu,45.09,C-,"S, 1, 2, +, S, 8",No
243,imCBITS,44.61,C-,"S, 1, 1, +, S, 1, 2, +, S, 8",No
244,FTB | Steph,44.33,C-,"S, 1, 2, +, S, 8",No
245,SnoZizzle | Twitch,44.18,C-,"S, 1, 2",No
246,FTB | SliceOfJAO,44.16,C-,"S, 1, 2, +, S, 8",No
247,@BloomDion,44.01,C-,"S, 4, +, S, 6",No
248,BrandoCommando,43.80,C-,"S, 1, 1",No
249,Hurt,43.73,C-,"S, 1, 2, +, S, 8",No
250,YoTakeItEezy,43.73,C-,"S, 1, 2, +, S, 8",No
251,negativerush,43.67,C-,"S, 1, 2, +, S, 8",No
252,TremblingTarantula43,43.66,C-,"S, 1, 2",No
253,Jack,43.26,C-,"S, 1, 2, +, S, 8",No
254,PRDX_kraknn,43.09,C-,"S, 1, 2, +, S, 8",No
255,abogado,43.08,C-,"S, 5, +, S, 6",No
256,Bungus Elite,42.99,C-,"S, 1, 2, +, S, 8",No
257,I3otox_,42.86,C-,"S, 1, 2, +, S, 8",No
258,Quip,42.66,C-,"S, 8",No
259,DRIP_itsyoboigothy,42.63,C-,"S, 1, 2",No
260,CommonFound,42.48,C-,"S, 6",No
261,AstralDax,42.46,C-,"S, 5, +, S, 6",No
262,K1ng_K00p4,42.46,C-,"S, 5, +, S, 6",No
263,dachick3n70,42.44,C-,"S, 5, +, S, 6",No
264,Keko29FTW,42.29,C-,"S, 1, 2, +, S, 8",No
265,NickCageTheDickMage,41.98,C-,"S, 1, 2",No
266,impish,41.96,C-,"S, 4, +, S, 8",No
267,[DAD] Nars Lootbaar,41.95,C-,"S, 1, 2, +, S, 8",No
268,@rbv_sk8ter,41.81,C-,"S, 1, 2",No
269,Galahad,41.81,C-,"S, 1, 2",No
270,hatch,41.44,C-,"S, 1, 2, +, S, 8",No
271,Bolbi Stroganovsky,40.89,C-,"S, 1, 2, +, S, 8",No
272,FLCIDSOCRTIC,40.88,C-,"S, 5, +, S, 6",No
273,shapegenerator,40.61,C-,"S, 5, +, S, 6",No
274,shxde,40.46,C-,"S, 1, 2",No
275,Double-Take,40.42,C-,"S, 1, 2, +, S, 8",No
276,SIRWILLIAMVII,40.39,C-,"S, 5, +, S, 6",No
277,Poptart,40.28,C-,"S, 6",No
278,TheBigDeal,40.28,C-,"S, 6",No
279,hyper o7웃,40.25,C-,"S, 1, 1, +, S, 1, 2",No
280,petergriffin483,40.24,C-,"S, 4, +, S, 5",No
281,sX_ItsNick,40.21,C-,"S, 1, 2, +, S, 8",No
282,asome005,40.14,C-,"S, 8",No
283,I_am_that_guy_59,40.14,C-,"S, 8",No
284,Nova_Cat,40.12,C-,"S, 4, +, S, 5",No
285,ENVYxSkillet,39.39,D+,"S, 5, +, S, 8",No
286,KindKitten13,39.24,D+,"S, 8",No
287,Regen,39.24,D+,"S, 8",No
288,F5 | Big Ab,39.24,D+,"S, 1, 1",No
289,AS1AN M1KE,39.23,D+,"S, 1, 2, +, S, 5, +, S, 8",No
290,K1ng13east,39.21,D+,"S, 1, 2, +, S, 8",No
291,Angxelah,39.18,D+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
292,o7Dash,39.05,D+,"S, 1, 1, +, S, 1, 2",No
293,Pope Coswi,38.87,D+,"S, 5, +, S, 6",No
294,dizzyjavi,38.85,D+,"S, 1, 2, +, S, 5",No
295,"HP Slink, M.D.",38.75,D+,"S, 6",No
296,kane.,38.64,D+,"S, 1, 2",No
297,J DAWG,38.24,D+,"S, 1, 2, +, S, 8",No
298,chrisk,38.18,D+,"S, 4, +, S, 5",No
299,PRDX_Ayywire,38.05,D+,"S, 1, 2, +, S, 8",No
300,@C0ozer,37.99,D+,"S, 6",No
301,Denk Jenkinson,37.99,D+,"S, 1, 2, +, S, 5, +, S, 6",No
302,fizzy0o0,37.97,D+,"S, 4, +, S, 6",No
303,Kitkat >:),37.95,D+,"S, 1, 2, +, S, 8",No
304,XZL FireDragon,37.87,D+,"S, 1, 2",No
305,ThisIsMig | Twitch,37.62,D+,"S, 8",No
306,Goonther,37.58,D+,"S, 1, 2, +, S, 8",No
307,Gee_Spree,37.44,D+,"S, 8",No
308,hazelnut,37.41,D+,"S, 1, 2",No
309,MyrtleSquirtle,37.41,D+,"S, 1, 2, +, S, 8",No
310,Sithopher,37.39,D+,"S, 1, 2, +, S, 8",No
311,GH Arise :3,37.23,D+,"S, 6",No
312,MOTL rBlaze,37.22,D+,"S, 5, +, S, 6",No
313,B Tier,37.15,D+,"S, 1, 2",No
314,ryuu,37.13,D+,"S, 1, 2",No
315,snowyday_,37.07,D+,"S, 1, 2, +, S, 8",No
