Rank,Player Name,Rating,Tier,Seasons Played,Top Lobby Bonus
1,Lau,189.68,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
2,Zboy5z5,185.05,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
3,lum,179.79,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 5",Yes
4,CHUDMAXXING,179.72,S+,"S, 1, 1, +, S, 1, 2",Yes
5,Bleachh,160.42,S+,"S, 1, 1, +, S, 1, 2",Yes
6,NC Kahzïne,160.09,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
7,Anteatter,159.36,S,"S, 1, 1",No
8,BrodE,154.18,S,"S, 1, 1, +, S, 1, 2",Yes
9,Mysteryz,153.59,S,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
10,acb,147.02,S,"S, 1, 1, +, S, 1, 2",Yes
11,Stitch,146.82,S,"S, 1, 2, +, S, 5, +, S, 8, +, S, 8, +, S, 8",No
12,Noxums,143.21,S,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 5, +, S, 6, +, S, 8",Yes
13,Penguinii,138.58,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
14,Lastcall,134.36,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
15,BF Kaidostreams,134.22,A+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",Yes
16,ejustice74,128.65,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",Yes
17,ColedColedWorld,127.04,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",Yes
18,Hova,126.12,A+,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
19,zourafa12,123.50,A+,"S, 1, 2, +, S, 6, +, S, 8",No
20,PureAqua | ExE?,121.49,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 8",Yes
21,Nopes Ropes,120.83,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",Yes
22,cudi,120.04,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
23,HA1L RG3,118.92,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
24,DarkApex,115.25,A,"S, 1, 1, +, S, 1, 2",Yes
25,KindlyMonkey,113.86,A,"S, 1, 2, +, S, 8, +, S, 8",No
26,twitch.tv/kozmohs,112.20,A,"S, 1, 1",No
27,TheGunner2533,112.12,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
28,Sleeping,111.74,A,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",Yes
29,Dvpaper,110.06,A,"S, 1, 1, +, S, 1, 2",Yes
30,Dare,110.04,A,"S, 1, 1",No
31,0ptical,108.61,A,"S, 1, 1, +, S, 1, 2, +, S, 5",Yes
32,Freak Newcastle,106.81,A,"S, 1, 2, +, S, 8",No
33,An7,106.13,A,"S, 1, 1, +, S, 1, 2, +, S, 5",Yes
34,HaKobo,105.43,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
35,Bvtterr,105.28,A,"S, 1, 1, +, S, 1, 2, +, S, 6",Yes
36,TNL_Colt,105.12,A,"S, 1, 1",No
37,Almanymede,104.46,A,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
38,wattsonswittlepuppywoof,102.59,A,"S, 1, 1, +, S, 1, 2, +, S, 8",Yes
39,Saaaber,102.15,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",Yes
40,Shouli,102.05,A,"S, 1, 1, +, S, 1, 2",Yes
41,Zimm,100.40,A,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
42,That Shark Bitch,100.21,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",Yes
43,Baughty,100.11,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
44,SoleSky,99.48,B+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",Yes
45,NØKK,98.95,B+,"S, 1, 1, +, S, 1, 2, +, S, 8",Yes
46,Karnivorrr,97.58,B+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
47,eidolon,97.16,B+,"S, 1, 1, +, S, 1, 2",Yes
48,@YoJokerz,95.93,B+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",Yes
