Rank,Player Name,Total Points,Kills,Damage
1,Anteatter,863.20,92,0
2,LUMI,733.20,72,0
3,KindlyMonkey,638.29,83,0
4,GRO gLow,638.09,82,0
5,Bleachh,629.20,69,0
6,FairestOne617,616.52,83,0
7,twitch.tv/kozmohs,607.75,68,0
8,Dare,596.05,67,0
9,AiymAPotato,591.03,70,0
10,Hylandbound,587.01,76,0
11,Dusterbia,571.53,67,0
12,TNL_Colt,569.40,63,0
13,lumdum,549.90,55,0
14,BrodE,544.70,58,0
15,KindKitten13,516.36,62,0
16,Zaphyツ,514.80,56,0
17,NickatNi7e,507.19,67,0
18,seeby,506.35,50,0
19,DaS8157,497.09,65,0
20,Phoenix.MLNT,493.22,57,0
21,Hawkeye2552,492.91,63,0
22,NightNight.MLNT,486.72,56,0
23,Groliver86,472.21,53,0
24,uFears,469.54,66,0
25,OzWaldo,465.40,47,0
26,Protogen Pawjob,456.87,58,0
27,shueisha,455.78,57,0
28,BigBen1248,451.83,53,0
29,Lame A Train,447.52,57,0
30,Nopes Ropes,444.44,55,0
31,ImSh1ny,436.59,52,0
32,Regen,436.27,56,0
33,Oshe,430.09,50,0
34,Skratchd_,429.36,53,0
35,LeaderOfTheBees,426.40,41,0
36,Omnipotene,423.80,50,0
37,Todo_apex,418.60,40,0
38,Saaaber,415.12,53,0
39,FSU_IamAtomicTV,408.62,52,0
40,zourafa12,406.62,52,0
41,kat,404.29,47,0
42,Dvpaper,399.75,33,0
43,fpsboone,398.22,50,0
44,Shouli,395.85,38,0
45,MOTL Kahzïne,393.90,42,0
46,Cezr,388.39,41,0
47,DarkApex,386.75,34,0
48,Lau,386.10,33,0
49,Frank Newcastle,384.28,46,0
50,Baughty,382.19,49,0
51,Crash,380.85,44,0
52,Gav.MLNT,379.08,42,0
53,Fartman,372.53,44,0
54,Waly,369.30,46,0
55,asome005,364.93,47,0
56,YANKEE 6 XRAY,363.64,45,0
57,xThinkso,363.53,35,0
58,Doctor Eloc,360.54,49,0
59,HaKobo,356.19,45,0
60,ColedColedWorld,352.92,39,0
61,ButterMyBreadWB,352.82,39,0
62,Jinkx,350.58,38,0
63,Zboy5z5,349.05,30,0
64,Saki <3,347.59,42,0
65,x_howdie_x,344.32,47,0
66,DWE Parcifal,341.33,43,0
67,DWE Mango,341.06,43,0
68,AUTHOR,340.18,38,0
69,garbunk,338.26,37,0
70,Deetray,338.00,36,0
71,Syndicate50,337.12,41,0
72,boobert,337.05,44,0
73,Hova,334.83,42,0
74,MannikTV,334.36,38,0
75,A Big Ahh Turd,330.85,31,0
76,Kevin,330.82,42,0
77,Enderphor,329.71,44,0
78,Jakoby,329.55,28,0
79,100T sheppyk9,328.69,44,0
80,Mr_Hands_20,327.01,36,0
81,Pandaz809,326.29,35,0
82,Lawlipawp,325.94,36,0
83,zegion,325.26,35,0
84,RAGNA_Viper,322.19,43,0
85,ehayes121,321.77,42,0
86,OniHeishiVT,319.14,39,0
87,bradyvision,318.69,38,0
88,Potter,317.75,42,0
89,Gas Daddy,317.20,21,0
90,twitch.tv/apguapo,317.20,40,0
91,Kryo,313.04,36,0
92,The Real Slim Shady,312.10,43,0
93,An7,309.40,29,0
94,ejustice74,307.42,32,0
95,Draigo,304.20,34,0
96,SolisStreams,301.41,41,0
97,jaundyy666,301.08,32,0
98,GGMantisToboggan,297.69,36,0
99,eidolon,296.40,29,0
100,Mootzel,295.53,37,0
101,LVS_Soda,293.80,31,0
102,hatch,292.76,34,0
103,0ptical,291.85,27,0
104,MOTL DduckyG,291.52,33,0
105,Hobojo,289.82,35,0
106,TH | winterdeadeye,289.38,33,0
107,PGK,287.95,27,0
108,Fuzz,287.09,29,0
109,Noxums,286.78,29,0
110,Lastcall,286.65,27,0
111,xXx,285.35,28,0
112,Gator Needs His Gat,284.85,35,0
113,spaceman,284.70,27,0
114,JuiceboxSlays (washed),284.58,38,0
115,SOAK Wobbla,284.50,30,0
116,FlareNotFlair,284.05,30,0
117,Double-Take,283.40,30,0
118,pat,279.34,34,0
119,mauシ,278.20,25,0
120,Almanymede,276.90,24,0
121,claud,273.47,36,0
122,DosEquisMan,273.10,37,0
123,ESTEFY,272.48,30,0
124,NØKK,272.35,26,0
125,MattyK3NG,271.65,24,0
126,goddamnironman,269.83,32,0
127,Frogs,269.40,34,0
128,ThisIsMig | Twitch,268.94,28,0
129,zG_Stifle,266.25,36,0
130,goodlookingsean,265.20,25,0
131,TwelveGage,263.38,29,0
132,ジム,261.82,29,0
133,LAZY3D,260.00,24,0
134,Indy,258.80,29,0
135,iiRonnoc,258.65,30,0
136,chill guy kien,258.43,30,0
137,Krit,257.81,36,0
138,Goomba on a Roomba,256.62,27,0
139,Jack,255.02,36,0
140,Heret1c,254.80,30,0
141,StoneSpy946,253.34,30,0
142,TH | BalynceLIVE,250.59,31,0
143,JEK,250.10,32,0
144,PRDX_Jokr,249.57,32,0
145,find0utt_TTV,248.87,26,0
146,RBD | Toonz,248.61,33,0
147,Xiums,248.04,26,0
148,Ltto.,246.35,22,0
149,amon,244.40,28,0
150,ChaosGoesLive,242.27,31,0
151,cudi,239.85,19,0
152,J DAWG,239.15,27,0
153,mati,237.64,24,0
154,weird fishes,237.38,27,0
155,BrandoCommando,237.25,24,0
156,PRDX_kraknn,236.57,30,0
157,Gee_Spree,236.03,23,0
158,blanK,235.82,25,0
159,G2theRiffin,234.97,30,0
160,I3otox_,234.47,30,0
161,Xzavier,233.22,27,0
162,Wolfer,233.22,27,0
163,FALN | Stats,232.47,29,0
164,FALN | JohnnyK,232.31,30,0
165,Kolosusx,232.06,28,0
166,ChosenSky,231.40,23,0
167,Hurt,229.04,29,0
168,HA1L RG3,227.41,29,0
169,BobbyBooshayy,227.34,26,0
170,Cyferzn,227.24,24,0
171,BaM_Clutch,226.15,25,0
172,Becka,226.10,30,0
173,US-Fakezi,225.89,24,0
174,Bvtterr,224.90,20,0
175,:O,224.89,27,0
176,FSU_TacticalMyst,223.63,26,0
177,FTB | Hunkulesss,222.40,27,0
178,Quip,222.09,19,0
179,uhPrxzn,221.00,24,0
180,EagleUSA,219.47,27,0
181,imCBITS,219.18,25,0
182,TsF MonTy,217.54,27,0
183,TheGunner2533,214.84,26,0
184,ChefMike,214.08,26,0
185,ImTheBigFork,213.72,24,0
186,MyrtleSquirtle,213.10,28,0
187,F5 | Big Ab,212.55,24,0
188,[Experimental AI Bot]29.319.17,212.16,24,0
189,HotKnockz,211.90,24,0
190,Kitkat >:),211.89,25,0
191,PRDX_Ayywire,210.57,26,0
192,XI PuGz,210.31,27,0
193,旋風,209.82,21,0
194,FSC | SantaKlaus,209.09,29,0
195,Coveted Yams,207.70,24,0
196,Calbeast,207.64,21,0
197,Xyrosec,206.08,23,0
198,///Mikey,205.66,23,0
199,addedayo,205.17,28,0
200,MoistKnight2443,204.24,24,0
201,A_MF_Queen,203.81,27,0
202,Figgy14,203.01,25,0
203,FTB | steph,202.90,24,0
204,LVS_TurtleMan,202.80,17,0
205,Chudbudwalker,202.28,25,0
206,BklynzKilla90,200.72,22,0
207,Aero,198.38,21,0
208,TTV/Fishiness,197.25,26,0
209,Bungus Elite,196.57,23,0
210,Exillade,195.00,22,0
211,snowyday_,194.82,24,0
212,Beanboy,194.12,24,0
213,StingraySlapper,193.58,24,0
214,AngryS0da,193.26,23,0
215,Bolbi Stroganovsky,192.39,22,0
216,indigocross92,192.12,19,0
217,oalios,191.88,16,0
218,Haki,191.88,18,0
219,ENVYxSkillet,190.32,20,0
220,RBD yonewdaddy,190.27,23,0
221,TurtlFPS,190.06,19,0
222,THEOZINBOY,189.80,20,0
223,I_am_that_guy_59,189.43,20,0
224,Raz,189.28,23,0
225,DEKTA_TTV,189.02,21,0
226,Penguinii,188.50,20,0
227,AS1AN M1KE,188.14,23,0
228,EST Wattzz,186.68,18,0
229,Mysteryz,186.55,20,0
230,TGUN_Turtle,183.82,19,0
231,impish,182.45,22,0
232,F5 | ntROZE,181.74,21,0
233,OpNate,181.53,23,0
234,offkilter,180.60,21,0
235,eR4Ticate13,180.45,24,0
236,Truth,179.40,18,0
237,DWE TTV Teach Da Youth,178.87,21,0
238,@ArtemisGG_,178.86,19,0
239,JackHeDoesIt,178.67,23,0
240,K1ng13east,178.40,20,0
241,bookworm669,176.81,22,0
242,Scarab6232,175.34,18,0
243,HecTicAstro,174.93,20,0
244,mer,174.10,22,0
245,KfroJenner69,174.10,20,0
246,Pen5guin,172.25,15,0
247,[DAD] Nars Lootbaar,172.04,20,0
248,SOAK Palms,171.76,19,0
249,laceycs,171.11,20,0
250,OE_MrBr0jangless,170.46,22,0
251,ClarkGriswold,170.09,19,0
252,Keko75FTW,169.88,23,0
253,Supreme,169.45,20,0
254,waz ee,169.00,16,0
255,Frijol3s03,168.74,19,0
256,Eppie,168.38,18,0
257,SilentRyft,168.35,20,0
258,1L Fallen,167.18,19,0
259,F5|GsQ BloomDion,167.05,16,0
260,CJtoSmooth,166.35,19,0
261,WhySoSweatyy,166.19,22,0
262,Meepmoe6,165.03,21,0
263,Unix_IRL,163.54,17,0
264,Cherm,163.41,18,0
265,muchmixture9,163.14,15,0
266,negativerush,162.32,19,0
267,FTB | SliceOfJAO,161.88,19,0
268,Miriahkay19,161.28,21,0
269,narwhal,161.17,21,0
270,Sithopher,160.97,18,0
271,Nedlock ネドロック,159.90,17,0
272,iiNovationii,159.69,18,0
273,MikieDelliii,159.17,20,0
274,R A P T U R E,157.30,13,0
275,FSC | Fishiness,157.09,21,0
276,Karnivorrr,156.34,17,0
277,furryCheese,156.26,17,0
278,CheezySlice,155.81,21,0
279,NRG ltto.,155.48,14,0
280,Twitch | lAlliegatorl,154.96,16,0
281,CG BilliardHorn,154.39,16,0
282,s,152.88,16,0
283,AllieFPS | Twitch,149.50,13,0
284,AverageDrae,148.08,17,0
285,lonewolf4114,147.95,19,0
286,iklipsa,147.63,19,0
287,the-optimistic-stoic,144.77,16,0
288,SpectacularlyAvg,144.55,19,0
289,YoTakeItEezy,144.54,16,0
290,ayla,144.09,15,0
291,chris k,143.65,14,0
292,XHANABUSER,142.74,11,0
293,fyf,141.96,14,0
294,OE_remydees,141.73,19,0
295,Greywaren99,141.41,17,0
296,Tomboys > Femboys,139.88,10,0
297,Epickiller17,139.75,9,0
298,Slim_Thor on twitch,137.81,18,0
299,DirtyVerdy_,137.16,18,0
300,phokkyu,135.75,14,0
301,SoleSky,135.75,14,0
302,Hud,135.62,15,0
303,A_Fox_With_Sox,134.95,17,0
304,EXL Unordinary ekiM,134.16,12,0
305,XEL.Bpsword.Twitch,133.85,14,0
306,Samus54,133.45,17,0
307,Drizzy,131.95,16,0
308,TONYPIKACHU,131.56,12,0
309,Prosperitv,131.52,17,0
