Rank,Player Name,Total Points,Kills,Damage
1,Anteatter,766.40,92,0
2,KindlyMonkey,626.59,83,0
3,LUMI,626.40,72,0
4,GRO gLow,622.50,82,0
5,FairestOne617,616.55,83,0
6,Hylandbound,574.93,76,0
7,Bleachh,566.40,69,0
8,AiymAPotato,552.78,70,0
9,twitch.tv/kozmohs,552.50,68,0
10,Dare,543.10,67,0
11,Dusterbia,531.78,67,0
12,TNL_Colt,514.80,63,0
13,NickatNi7e,502.09,67,0
14,DaS8157,489.42,65,0
15,KindKitten13,486.32,62,0
16,BrodE,483.40,58,0
17,uFears,480.71,66,0
18,Hawkeye2552,479.50,63,0
19,lumdum,473.80,55,0
20,Zaphyツ,461.60,56,0
21,Phoenix.MLNT,455.64,57,0
22,NightNight.MLNT,448.64,56,0
23,Protogen Pawjob,442.86,58,0
24,shueisha,438.36,57,0
25,Lame A Train,434.55,57,0
26,seeby,433.70,50,0
27,Groliver86,429.94,53,0
28,Regen,425.35,56,0
29,Nopes Ropes,425.13,55,0
30,BigBen1248,420.54,53,0
31,Skratchd_,410.17,53,0
32,ImSh1ny,409.50,52,0
33,Saaaber,403.60,53,0
34,OzWaldo,402.80,47,0
35,Oshe,398.50,50,0
36,FSU_IamAtomicTV,396.60,52,0
37,zourafa12,395.67,52,0
38,Omnipotene,395.60,50,0
39,fpsboone,383.79,50,0
40,kat,374.59,47,0
41,Baughty,372.40,49,0
42,Doctor Eloc,362.40,49,0
43,Frank Newcastle,361.36,46,0
44,LeaderOfTheBees,360.80,41,0
45,asome005,356.43,47,0
46,Waly,354.45,46,0
47,Todo_apex,353.20,40,0
48,Crash,351.78,44,0
49,MOTL Kahzïne,349.80,42,0
50,Fartman,347.94,44,0
51,YANKEE 6 XRAY,347.83,45,0
52,x_howdie_x,346.92,47,0
53,HaKobo,344.40,45,0
54,Cezr,343.26,41,0
55,Gav.MLNT,342.96,42,0
56,Shouli,334.70,38,0
57,boobert,331.56,44,0
58,DWE Parcifal,329.54,43,0
59,DWE Mango,329.41,43,0
60,Saki <3,328.43,42,0
61,Enderphor,328.17,44,0
62,100T sheppyk9,327.70,44,0
63,Hova,322.54,42,0
64,RAGNA_Viper,320.70,43,0
65,Kevin,320.69,42,0
66,Syndicate50,319.60,41,0
67,ColedColedWorld,318.89,39,0
68,ButterMyBreadWB,318.84,39,0
69,ehayes121,316.51,42,0
70,Dvpaper,316.50,33,0
71,The Real Slim Shady,316.05,43,0
72,Potter,314.65,42,0
73,DarkApex,314.50,34,0
74,Jinkx,313.81,38,0
75,Lau,310.20,33,0
76,AUTHOR,309.01,38,0
77,xThinkso,307.78,35,0
78,twitch.tv/apguapo,306.40,40,0
79,MannikTV,306.32,38,0
80,garbunk,304.12,37,0
81,OniHeishiVT,303.29,39,0
82,SolisStreams,303.11,41,0
83,Deetray,300.00,36,0
84,bradyvision,299.09,38,0
85,Mr_Hands_20,294.93,36,0
86,Lawlipawp,294.43,36,0
87,Pandaz809,290.59,35,0
