url,day,lobby,type,description
https://overstat.gg/tournament/VESA%20League/13938.VESA_S11_Pinnacle_I_all_weeks_/standings/overall/player-standings,1,1,player,Pinnacle (Highest Skill)
https://overstat.gg/tournament/VESA%20League/12656.VESA_S11_Vanguard_All_Weeks_/standings/overall/player-standings,1,2,player,Vanguard
https://overstat.gg/tournament/VESA%20League/12654.VESA_S11_Ascendant_All_Weeks_/standings/overall/player-standings,1,3,player,Ascendant
https://overstat.gg/tournament/VESA%20League/12652.VESA_S11_Emergent_All_Weeks_/standings/overall/player-standings,1,4,player,Emergent
https://overstat.gg/tournament/VESA%20League/12650.VESA_S11_Challengers_All_Weeks/standings/overall/player-standings,1,5,player,Challengers
https://overstat.gg/tournament/VESA%20League/12648.VESA_S11_Tendies_All_Weeks_/standings/overall/player-standings,1,6,player,Tendies (Lowest Skill)
